end_date,stock_code,in_pool
2014-01-01,S000000,1
2014-01-01,S000001,1
2014-01-01,S000002,1
2014-01-01,S000003,1
2014-01-01,S000004,1
2014-01-01,S000005,1
2014-01-01,S000006,1
2014-01-01,S000007,1
2014-01-01,S000008,1
2014-01-01,S000009,1
2014-01-01,S000010,1
2014-01-01,S000011,1
2014-01-01,S000012,1
2014-01-01,S000013,1
2014-01-01,S000014,1
2014-01-01,S000015,1
2014-01-01,S000016,1
2014-01-01,S000017,1
2014-01-01,S000018,1
2014-01-01,S000019,1
2014-01-01,S000020,1
2014-01-01,S000021,1
2014-01-01,S000022,1
2014-01-01,S000023,1
2014-01-01,S000024,1
2014-01-01,S000025,1
2014-01-01,S000026,1
2014-01-01,S000027,1
2014-01-01,S000028,1
2014-01-01,S000029,1
2014-01-01,S000030,1
2014-01-01,S000031,1
2014-01-01,S000032,1
2014-01-01,S000033,1
2014-01-01,S000034,1
2014-01-01,S000035,1
2014-01-01,S000036,1
2014-01-01,S000037,1
2014-01-01,S000038,1
2014-01-01,S000039,1
2014-01-01,S000040,1
2014-01-01,S000041,1
2014-01-01,S000042,1
2014-01-01,S000043,1
2014-01-01,S000044,1
2014-01-01,S000045,1
2014-01-01,S000046,1
2014-01-01,S000047,1
2014-01-01,S000048,1
2014-01-01,S000049,1
2014-01-01,S000050,1
2014-01-01,S000051,1
2014-01-01,S000052,1
2014-01-01,S000053,1
2014-01-01,S000054,1
2014-01-01,S000055,1
2014-01-01,S000056,1
2014-01-01,S000057,1
2014-01-01,S000058,1
2014-01-01,S000059,1
2014-01-01,S000060,1
2014-01-01,S000061,1
2014-01-01,S000062,1
2014-01-01,S000063,1
2014-01-01,S000064,1
2014-01-01,S000065,1
2014-01-01,S000066,1
2014-01-01,S000067,1
2014-01-01,S000068,1
2014-01-01,S000069,1
2014-01-01,S000070,1
2014-01-01,S000071,1
2014-01-01,S000072,1
2014-01-01,S000073,1
2014-01-01,S000074,1
2014-01-01,S000075,1
2014-01-01,S000076,1
2014-01-01,S000077,1
2014-01-01,S000078,1
2014-01-01,S000079,1
2014-01-01,S000080,1
2014-01-01,S000081,1
2014-01-01,S000082,1
2014-01-01,S000083,1
2014-01-01,S000084,1
2014-01-01,S000085,1
2014-01-01,S000086,1
2014-01-01,S000087,1
2014-01-01,S000088,1
2014-01-01,S000089,1
2014-01-01,S000090,1
2014-01-01,S000091,1
2014-01-01,S000092,1
2014-01-01,S000093,1
2014-01-01,S000094,1
2014-01-01,S000095,1
2014-01-01,S000096,1
2014-01-01,S000097,1
2014-01-01,S000098,1
2014-01-01,S000099,1
2014-01-01,S000100,1
2014-01-01,S000101,1
2014-01-01,S000102,1
2014-01-01,S000103,1
2014-01-01,S000104,1
2014-01-01,S000105,1
2014-01-01,S000106,1
2014-01-01,S000107,1
2014-01-01,S000108,1
2014-01-01,S000109,1
2014-01-01,S000110,1
2014-01-01,S000111,1
2014-01-01,S000112,1
2014-01-01,S000113,1
2014-01-01,S000114,1
2014-01-01,S000115,1
2014-01-01,S000116,1
2014-01-01,S000117,1
2014-01-01,S000118,1
2014-01-01,S000119,1
2014-01-01,S000120,1
2014-01-01,S000121,1
2014-01-01,S000122,1
2014-01-01,S000123,1
2014-01-01,S000124,1
2014-01-01,S000125,1
2014-01-01,S000126,1
2014-01-01,S000127,1
2014-01-01,S000128,1
2014-01-01,S000129,1
2014-01-01,S000130,1
2014-01-01,S000131,1
2014-01-01,S000132,1
2014-01-01,S000133,1
2014-01-01,S000134,1
