round,date,selected_total,updated_selected_total,selected_good,selected_medium,selected_bad,selected_success_good,selected_success_medium,selected_success_bad,selected_failure_good,selected_failure_medium,selected_failure_bad,selected_success_total,selected_failure_total,unselected_success_total,unselected_failure_total,marginal_evaluations_total
2,2014-06-19,50,50,20,24,6,15,16,1,5,8,5,32,18,20,30,50
3,2014-07-18,50,50,20,22,8,16,10,1,4,14,5,27,23,27,23,50
4,2014-08-18,50,50,18,21,11,15,13,4,5,9,4,32,18,17,32,50
5,2014-09-16,50,50,20,25,5,15,12,3,3,9,8,30,20,28,21,50
6,2014-10-15,50,50,19,22,9,12,14,1,8,11,4,27,23,27,22,50
7,2014-11-13,50,50,19,22,9,13,14,4,6,8,5,31,19,22,26,50
8,2014-12-12,50,50,18,21,11,13,14,4,6,8,5,31,19,23,27,50
9,2015-01-12,50,50,20,22,8,13,14,3,5,7,8,30,20,12,37,50
10,2015-02-10,50,50,19,22,9,16,14,3,4,8,5,33,17,27,21,50
11,2015-03-11,50,50,20,27,3,12,18,3,7,4,6,33,17,23,27,50
12,2015-04-09,50,50,20,23,7,15,16,2,5,11,1,33,17,23,26,50
13,2015-05-08,50,50,20,22,8,16,13,0,4,10,7,29,21,27,23,50
14,2015-06-08,50,50,19,22,9,14,10,4,6,12,4,28,22,24,25,50
15,2015-07-07,50,50,20,22,8,15,14,4,4,8,5,33,17,24,26,50
16,2015-08-05,50,50,20,18,12,17,12,3,3,10,5,32,18,22,28,50
17,2015-09-03,50,50,20,17,13,18,7,7,2,11,5,32,18,28,20,50
18,2015-10-02,50,50,20,23,7,17,13,4,3,4,9,34,16,29,21,50
19,2015-11-02,50,50,19,22,9,14,13,4,6,10,3,31,19,20,30,50
20,2015-12-01,50,50,20,18,12,15,10,5,4,12,4,30,20,27,23,50
21,2015-12-30,50,50,19,21,10,14,11,5,6,7,7,30,20,22,25,50
22,2016-01-28,50,50,20,18,12,15,11,7,4,10,3,33,17,21,28,50
23,2016-02-26,50,50,19,21,10,13,11,5,7,7,7,29,21,25,24,50
24,2016-03-28,50,50,19,19,12,14,14,5,5,7,5,33,17,20,28,50
25,2016-04-26,50,50,20,22,8,15,14,3,4,5,9,32,18,19,31,50
26,2016-05-25,50,50,20,18,12,16,13,2,4,9,6,31,19,19,31,50
27,2016-06-23,50,50,18,22,10,14,8,7,6,10,5,29,21,25,25,50
28,2016-07-22,50,50,19,19,12,15,13,6,3,9,4,34,16,28,21,50
29,2016-08-22,50,50,18,21,11,13,14,5,6,5,7,32,18,26,24,50
30,2016-09-20,50,50,19,20,11,13,13,4,5,8,7,30,20,29,20,50
31,2016-10-19,50,50,20,19,11,19,11,4,0,9,7,34,16,31,18,50
32,2016-11-17,50,50,20,22,8,18,13,3,2,6,8,34,16,22,27,50
33,2016-12-16,50,50,20,18,12,14,14,4,6,8,4,32,18,17,32,50
34,2017-01-16,50,50,18,20,12,14,9,6,6,9,6,29,21,24,25,50
35,2017-02-14,50,50,19,18,13,12,12,6,6,8,6,30,20,30,20,50
36,2017-03-15,50,50,20,20,10,11,11,8,8,7,5,30,20,28,20,50
